"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
#WTF It’s launch day &amp; @115714 stores in NY don’t have any #iPhoneX phones in stock. This is some bullshit! #NotGood #ThisIsBullshit @115858 | @589883 We advice that you visit the link provided to check with the other stores to confirm if the device is in stock  https://t.co/X1DpDgk1EU. -AV
"@115911 @115913 I was advised by employee that they had 5 iPhone X in yesterday. Just spent 2h in line to find they dont have any :// | @589938 @115913 Due to the popularity of the pre-order, store inventory will be limited for some time. We're always ready to help you order one! *MikeRice"
"Yo how long does it take to process an order ??? @115911 I need updated info on my iPhone | @469882 @115911 Sorry for the delay, thank you for your patience.  Could you please either provide me with a tracking number or i... https://t.co/w4k5G9jwMI"
@TMobileHelp I got a new iPhone and it hasn't ported my number over. I can't make calls without it going right to customer support? why? | @590045 Hey Dave! Yay for the new phone! We can definitely look into this for you! Shoot us a DM and we'll get started right away! *WhitneyJ
@TMobileHelp Any chance I could get information on where the iPhone X will be available in store | @393350 Thanks for reaching out to T-Force.  We're all super excited for the iPhone X launch!!  Send us a DM and we can talk in detail. *JeffreyN
"@115913 my iPhone x was lost during shipping. Can I get replacement please? | @175990 @115913 We're here for you, Mohammed and we'll get to the bottom of this. We'll respond in DM shortly for you! *MikeRice"
"@115911 @TMobileHelp @115913 thanks to stamping ur logo on ur boxes and making them targets my iPhone X was stolen at @115817 station 😡😡😡😡 | @553777 @115913 Oh no! I absolutely want to dive in and get this sorted out for you, Jai. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
@sprintcare standing at the Westwood location for the last 21 min. and no one can find my iPhone X. #pissed | @381040 I appreciate your concern to receive that wonderful device Lisa &amp; assure you the agents there will do their best to assist you. Sprint -MM
"@115911 customer service.told me that the possible reason to not getting my iPhone8 shipped is because the iPhone X 😐 really. | @590694 Whoa, Eric! Please send us a DM and allow us to take a closer look for you! We want to make sure you get your dev... https://t.co/tLiIOY3tBY"
Sprint is a joke. Why do y'all NOT have the iPhones in. Y'all are losing. Y'all are suppose to have them in store by TODAY @115714 | @590706 You can call Telesales at 844.529.6714 or visit https://t.co/0qT1rLBLtN to order the iPhone X and have it shipped to your home. -GS
@TMobileHelp any JOD offers on the iphone x? | @590760 Let's check it out for you :) Send a quick DM our way https://t.co/69dhFOUgl8 We'd love for you to have that awesome phone! *AmandaSansone
"@115911 SMSes, LTE, and other carrier-related functionality are not working with my iPhone X. what should I do? | @590784 Worry not, Carlos, we're here to help. DM us, let's make sure everything's set up so you can start enjoying that iPhone X. *JoanO"
"@115911 @TMobileHelp How long is the $300 off the iPhone X w/ eligible trade in going to last? | @416158 Hi Chris, no end date on the offer yet. Shoot us a DM if you'd like help with the offer though, we're here to help: https://t.co/jF5yH1FZgs"
@TMobileHelp Hi! I’m interested in trading in my iPhone 6+ for the $300 towards the iPhone 8+. Am I required to finance or can I pay full? | @590872 The $300 off is setup for finance. The $300 is applied back in monthly bill credits. Shoot us a DM if you want help getting setup. *SethH
Hmm.. any @115714 stores in the Houston area have iPhone X 256GB in stock? | @590902 Hi Shantrell. Here's a link https://t.co/X1DpDgk1EU for you to locate a Sprint retail store near you for details concerning your issue. -AC
do you guys have the iPhone X in stores? @115911 | @409649 Hi this is Ellen your Magenta Hero today!! Great question i can just imagine that you want the iPhone as soon as ... https://t.co/1J4OEIVyZR
@TMobileHelp why do I keep getting these random texts? I’m assuming they are spam https://t.co/16pZaH85Dg | @232933 We're just letting you know you're eligible to upgrade to the iPhone X! Give us a DM if you'd like more information :) *FabbyCeja
@115911  shipped. Tomorrow delivery...I'm impressed https://t.co/MEIlmhqMFz | @430925 That's just how we roll! :) It just wouldn't be right to keep you waiting on a device as nice as the iPhone X! Enjoy! *JustinRhodes
"@115911 did me so dirty. Used app to grab iPhoneX. Now they telling me I️ didn’t , even tho they charged me . 😳😳😳😳 | @591253 I'm with you! I need to know where my money is at all times so I want to assist! Please DM us so we can check this out for you! *WhitneyJ"
"Pretty sure my iPhone won't be here tomorrow since it's ""2nd Day Air"" from @sprintcare and it's still at it's origin scan, in a diff state | @427414 Find out the status of your order at https://t.co/hqOnhxrGCa. by entering the order number listed in your confirmation email. -CP"
"Called local @115911 stores and zero #iPhoneX stock available tomorrow. Is that true for all stores @115913 | @439601 @115913 We prioritize pre-orders with our inventory, so it may be a bit until stores receives stock. We can definitely get an order going! *MikeRice"
@115911 @115913 iPhone X will be available in stores tomorrow? | @561224 @115913 Those who pre-ordered will have priority on inventory so it may be some time before stores have this awesome new device in stock. *MikeRice
"@115911 @115913 This does not explain why I was told that the release date isn’t till tomorrow https://t.co/E831acMxs8 | @364605 @115913 The release of the iPhone X is today, Nov 3, though store inventory may vary. DM us with any questions. https://t.co/lH0SH5fy2m *MikeRice"
.@sprintcare what the hell sprint?! WHY is my #iphonex not activating? This appears to be a common problem with your service! | @591647 We've sent you steps for activating your device via DM. Please visit https://t.co/XMUfyXnHqJ if you are needing additional assistance.
"@TMobileHelp am i eligible to upgrade to an iphone x and if so how much would it be? | @177239 Oh, I can't wait to get my hands on this new hotness! Please click https://t.co/IvLqMUwEUf to send me a DM.  I've got you! 👊🏼💪🏼 *Frank Maez"
Hats off to @115911 @TMobileHelp. Smoothest phone launch ever #iphonex | @216681 Well we should've figured it out by now right? LOL Thanks for the shout out!  Let me know if you need anything!! I've got you! *Frank Maez
@TMobileHelp can I return my old iPhone to a store or do I have to mail it? | @591766 Have no fear your #MagentaHero is here! Shoot me a DM and I will give you all the details! https://t.co/qF1oGJAQaV *Ashley Lingley
"@TMobileHelp hey i just got my X delivered, i’m on apple upgrade program, easy to activate with you guys? or do i need to go in to store? | @591089 Congrats on your new iPhone X! The program should be automatic. Pls send me a DM so we may review https://t.co/6JAtI8jAfO *RubenHernandez"
"@115990 @117735 @sprintcare @TMobileHelp @AppleSupport Some of my friends bought #iPhoneX. They work on you 4 major providers. 🍏🍎📱📲 | @399218 Good Afternoon, David, I hope you're having a fabulous weekend! Thank you kindly for taking the time out of your ... https://t.co/GkKhGLZAsl"
@115911 hi! I’m a JOD customer do I have to put a down payment to upgrade to iPhone X? And what if I have the 256 GB iPhone 7 Plus? | @591884 Hey there! We'd have to take a closer look into your account to get you an accurate answer. DM us here so we can help out. *BlakeT
"@UPSHelp @AppleSupport @TMobileHelp worst service ever from ups.They just ruined my iphonex delivery due to their own mistake. Irresponsible https://t.co/tukSKwNtdU | @440842 Hi Yadab! Sorry to hear about your order getting held up!! Looks like UPS should have it from here, any T-Mobile questions? *LeshayBaker"
@TMobileHelp am i eligible to upgrade to the iphone x? and if so how much would it be? | @591938 I'd love to see about getting you into that awesome new #iPhoneX! Send me a DM and we'll take a look. :D https://t.co/Nec8mDWdEc *KarenHoth
"Just got the iPhone 8 plus last weekend, how the hell is @115911 gonna tell me I’m eligible to get the iPhone X? 🤔 | @592068 You've always got options on #TeamMagenta, David! Price may vary but we can check that out for you! DM us, let's chat about it! *WhitneyJ"
"I got a text from @115911 that I'm eligible for an upgrade to #iPhoneX ! Yeah!  Until I go to the website and it says ""NOT!"". | @348783 I'd love to look into your upgrade options with you to see how you can get your hands on the iPhone X! DM us so we can help out. *BlakeT"
Wonder if a switch to @att or @115714 would best. Their costumers had tracking#s on Monday. It's clear a planned iPhone release is too much https://t.co/WlUFkY2Dka | @295925 We would love to have you become a part of the Sprint family! Here is a link to our most current promotions https://t.co/OLXF2ShjmN -Maria Q
"if I️ don’t get my #iPhoneX today, I’m leaving @115714. @sprintcare do something for once. | @592315 If you have your order number that was sent to your email, you can check at https://t.co/RDgqxv7W9w for the status of your shipment"
"It’s sad that the trade-in value of my iPhone 6s is only $110 through @115911 and yet $210 through Apple! I don’t think that’s right / fair | @177578 We appreciate your feedback. We understand the offer isn't for everyone, but we're happy to review additional opt... https://t.co/x6sbDTJ8zm"
I hate @115911 they are giving me nonsense! I have to pay $500 to get the iPhone X @115913 | @592381 @115913 I want to ensure that you have all the details for an upgrade. Click https://t.co/Mww69Rzn7a to send me a DM. *AshleyNelson
"My new iPhone X is not activating please help!!! @sprintcare @115714 | @433429 Please send us a Direct Message, so that we can further assist you. We would really like to help with getting your issue resolved. -MH"
Yo @115911 why you lying ? 🤔 @TMobileHelp https://t.co/gnSBVxm7ir | @474206 Oh no! Shoot us a quick DM so that we can get you updates on your new iPhone X Paul. Talk soon! https://t.co/ineZm1Lcy2 *AntoineWhite
"@TMobileHelp when will iPhone X be available in @115911 stores to buy as a walk-in, not preorder? | @592591 Hey Alex! It depends on each store's inventory, send me a DM here https://t.co/43NmJRbdQL for more details! Thank you :) *BrentHayashi"
@115913 : I placed order for iPhone X at store. No one mentioned abt $20 &amp; $6.99 additional charges. I hv cancelled my order bcoz of it. | @472393 @115913 I want to ensure that you have all the details. Click https://t.co/Mww69Rzn7a to send me a DM so I can help. *AshleyNelson
"Is it possible my #iPhoneX is still out for delivery @115817 @TMobileHelp? Rep says delivery can happen b4 11:59pm but seems late?? | @427559 I'm not sure UPS works this late, but Lloyd Christmas wouldn't want me to say no chance! DM me! https://t.co/GXcACu8dxr *JustinPhillips"
"@TMobileHelp I've sent a DM regarding enrolling in a premium protection plan for the iPhone X I received today. | @572428 First of all, please can you verify your account via the following link

 https://t.co/xKtJVNqc2V   

#MagentaMidnight #HereToHelp *DaleJ"
@115913 Trying to find out where the iphone x is and CSR's are just blind transferring me. What am I supposed to do? Nobody will help me | @200402 @115913 You deserve to know the status of your delivery and what to expect. DM me so we can look into this. https://t.co/plE6XCdHhz *CharlesOpacki
"@sprintcare So how come when I ordered my iPhone X the activation fee wasn’t waived but my friends did get waived. | @335666 Morning, please note we are not waiving upgrade fees for the iPhone X and as of 3rd Nov, 2017, we wouldn't be waiving any other device. - FS"
@115911 all your reps saying “I wish I could help you and give you the iPhone X” we can all wish for things but they are not actions! 👎🏽 | @478596 We're determined to find a course of action for you. I've sent a DM and will meet you back there to continue helping out. *CharlesOpacki
"@115913 When do you expect iphone x to be available in TMobile store for purchase? | @593363 @115913 This awesome new phone has already been released. For me details, send a DM my way and I'll help out. https://t.co/plE6XCdHhz *CharlesOpacki"
"I preordered the iphone x on fri but the rep wrote wrong billing ad. Now I have to wait for dec because of your bad service  @TMobileHelp | @593639 We're super sorry to hear about this, please send me a DM and we'll look further into this! #HereToHelp
https://t.co/2AjMPFQ6Qm *EddieJ"
@TMobileHelp Heyo! Just got my iPhone X and having trouble activating it. | @310694 Hey There AJ! We would be more than happy to assist you getting your new iPhone X activated! Just send us a direct message! *IvanD
WHY did I pay for next day shipping just for @115911 to send my phone 3 days later? Ugh. | @593822 We are so excited that you just got you new iPhone sooner than expected.Please DM us so we can look into your order &amp; see why. *VincentH
"@sprintcare Hi, I was wondering if you could help me upgrade my iPhone 7 to an iPhone X? I tried on your app &amp; website, but it glitched. | @483439 Pleasant good day. Please try contacting our telesales department at 800-777-4681, they would assist you with getting the upgrade done. - FS"
"@TMobileHelp si hago el upgrade de mi iphone6s a un 8 en la store es el mismo precio fees etc ? | @591892 Hola :-) Sí, nuestro precio es el mismo en la tienda. Envíenos un mensaje directo si tiene alguna otra pregunta. *StaceyMedranoLopez"
It’s dope to be able to use the iPhone X. But then I’m constantly reminded how crippling @115911 network is to the awesome experience. | @273866 Ouch! Its important to us that you enjoy all the awesome features of your new phone with no worries! DM us your l... https://t.co/nRoSdB5TPl
"@TMobileHelp I woke up at 3AM last week to pre order an iPhone X and my tracking info hasn’t updated. I was expecting it today and I’m 😡😡 | @216219 I want to make sure that sacrificed sleep was worth it! DM me, and we can take a closer look! https://t.co/GXcACu8dxr *JustinPhillips"
"@sprintcare I bought my iPhone X on Nov. 3rd, and on https://t.co/hTXJlGNAwe it doesn't show anything about ordering after Nov. 2nd. | @217630 Hi! Did you receive an Order Number when you bought your iPhone X? Please, send us a DM to properly assist you. -LR. https://t.co/rMApsV8PQY"
"@sprintcare @115714 whats the availability on the iPhone X? 🤔 | @421988 Hi there! We saw your Tweet. Due to character limitations, please send us a Direct Message, so that we can further assist you. - JL https://t.co/rMApsV8PQY"
"Horrible experience with @115714 - said #iPhoneX would be delivered 11/3 - still not here | @594554 Hi there! We saw your Tweet. Due to character limitations, please send us a Direct Message, so that we can further assist you. - JL https://t.co/rMApsV8PQY"
"Does it really take that long for me to get my iPhone 8 plus from @115911 since I ordered it in October? @115913 :( | @594904 @115913 Waiting on a brand new phone for that long cannot be any fun. Let's find a solution, DM me https://t.co/PbJEgtqanO *JeromyBingham"
"@115913 how are you, wondering if I we’ve been with T-mobile for while &amp; have two iPhones 5s can we upgrade with some kind of discount | @594911 @115913 We would love to look into your options on getting a new phone! Let's talk, DM me https://t.co/PbJEgtqanO *JeromyBingham"
"People thought i was playing about this new iPhone. I’m headed to @115911 now | @595757 Hi there, Blair! What can we assist with? Dm us details on the iPhone you're interested in so we can get you hooked up! *ElleA"
"@TMobileHelp how do I send back my iPhone for trade in? Well you guys be sending me a prepackaged package with label? | @221162 Good question! We provide the shipping label in the box of your new iPhone. If not, you can print it https://t.co/7sAx4bn8E2 *BrittanyJones"
"@115858 @119511 @115725 @115913 @115911 #iphoneX https://t.co/MHhphfE5vg | @595911 @115913 We'd love to see you on the Magenta Side, Jackie. DM us anytime and we'll chat options: https://t.co/cuEwtd2epS *DanKing"
"I wanted to buy a phone that I don’t need, but I wanted anyway, @115911 just killed this hope off. Very poor customer service. #iPhoneX | @499020 Ouch! We want to help you get into that awesome new device! Shoot me a DM so we can look at options https://t.co/9CGjXZaLy0 *SpencerKalata"
@115913 @115911 @TMobileHelp Pre-ordered my iPhone X at midnight last Friday. Still no phone. Tmobile support has been atrocious. | @596294 @115913 We strive for world class customer service. Pls DM us and we'll make sure all is good to go with your order https://t.co/cuEwtd2epS *DanKing
"So, I was just trying to order the new iphone, and I was on the phone with @115714 for almost a hour..... why?! | @596301 Thank you RaeAnn, for reaching out to us with this issue. Did you get through with the order or do you still need assistance? -KK"
@TMobileHelp Pre-ordered iPhone X on 10/27.  During checkout I was offered $0.00 for all shipping options. Chose expedited. Charged $24.99 | @596495 I'd be happy to see what we can do for you! Send me a quick DM and I will jump on this right away! https://t.co/hzjqSun5Lf *TreBrewbaker
"@115913 Your rep didn't order my iPhone X and now I will not have one for 6-8 weeks. And there's nothing your company can do? | @596579 @115913 We absolutely want the best possible experience for you with these orders, Brad. We'll respond in DM shortly. *MikeRice"
@TMobileHelp iphone keeps saying no service.  Turned it off and on but hasn’t helped...need help! | @596677 I'm here for you and don't want you going disconnected! Send me a DM so we can dive into things! https://t.co/Qz0L1xpZB7 *MikePerez
@115911 @115913 I'm curious why the iPhone SE is not eligible for the Apple trade in promotion when the 6 and the 6plus are? | @596819 @115913 I want you to have all the details of this promotion. Click on my picture https://t.co/Mww69Rzn7a to send me a DM. *AshleyNelson
@116447 over 3 hours on the phone to upgrade to iPhone 8. Had to speak with 7 different people to complete the transaction. Brutal! | @596821 Please allow us to turn this experience around for you. Please follow and DM if there is a concern we may help you with. Team @116447
Stayed up past midnight to order iPhone. Now order cancelled. @115911 told me to reorder and get back to the end of the queue. @115913 | @597164 @115913 Hey Alex! I see you've been working in DM with us. I will meet you back in there now. Thank you for your patience! *AshHebron
@115913 Does @115911 no longer offer the promotion on the iPhone 8 Plus? | @249429 @115913 Promotions are awesome and I want to chat with you. Click on my picture https://t.co/Mww69Rzn7a to send me a DM. *AshleyNelson
@115911 used to have such an awesome upgrade system - def can’t/pay $300-$500 down for the new iPhone smh. Maybe switching after 10+yrs | @597596 Oh no! I hear you &amp; I certainly want you to get your hands on the new #iPhoneX. DM us here so we can discuss your options with you. *BlakeT
"Should’ve just bought my iphone X at the apple store because by the time @115911 sends it, the NEW iphone will be out 🙄 | @597598 The iPhone X was a huge hit so we may have back-order times, send me a DM so we can check that out. https://t.co/D4NKjg57yo *SultanGardezy"
"Apparently i pay $31 a month for my iPhone 6S but the iPhone 8+ is only $15 a month. Why am i being played @115714? My feelings are hurt | @598096 ...make an upgrade or check the promotion you have available, feel free to send us a DM. We'll be more than glad to assist you. (2/2) -LR."
"Apparently i pay $31 a month for my iPhone 6S but the iPhone 8+ is only $15 a month. Why am i being played @115714? My feelings are hurt | @598096 Hi! We understand your discomfort, but that price for the iPhone 8+ is part of a limited promotion. If you are interested to... (1/2) -LR."
"@115714 so I really enjoy where it says you get iPhone anytime with iPhone forever NOT only every 18 months #bullshit | @598127 Hello. Are you experiencing any inconvenience with our iPhone forever program? Please, DM us for further assistance! - DA https://t.co/rMApsV8PQY"
"@115714 I'm thinking about coming back @115911 won't give me a 
#newiphone without leaving a deposit so #what's good | @503920 Hello Jay: You're very welcome. See our promo:  https://t.co/cLSUsitfDr . DM us if additional assistance. -IG https://t.co/rMApsV8PQY"
"We preorder our @115714, iPhone x n said they will arrive last Friday.. 🤔🤔🤔 #giveourshippingmoneyback | @598139 We definitely understand that waiting can be a hassle! We encourage you to verify delivery updates here https://t.co/RDgqxv7W9w. - DB"
"@TMobileHelp @115913 your iPhone app sucks! Consistently been unable to view my bill details from the app. Very very frustrating!! | @598389 @115913 We absolutely want you to be able to view your detailed bills, Mandar. Let's see what's going on. Shoot a DM our way. https://t.co/EdLkYIfmTn *MariahDaigle"
@115913 is there a coupon code or anything ? Looking to switch can’t afford to start out with 3 iphone 8’s too much down 😩 on 👉talk now | @598415 @115913 We want to make sure you get the best deal possible for making the switch. DM and we'll chat. https://t.co/plE6XCdHhz *CharlesOpacki
"@115911 @115913 @117540 You cancelled my launch week shipping iPhone X preorder twice. My wife already got hers Friday. I am not happy. | @598419 @115913 We definitely want you to have your device, as well. Let's review your order, Curtis. DM me. https://t.co/EdLkYIfmTn *MariahDaigle"
@115714 full of shit $50 unlimited data iPhone for life plan a scam and false advertisement fuck y’all | @598499 This is not the kind of comment we like to see. What is going on? Please DM and follow us with details of your situation. -JR
"Are you deadass? On my iPhone 8+? @115714 https://t.co/wh5SOZoPqr | @598502 Hi there, thank you for reaching out to us. Can you elaborate on the issue your having? -MC"
"@TMobileHelp You cancelled my iphone order for no reason, what the heck???????? SOS I called 3 times to make sure everything was correct! | @439316 Yikes! Let's dig into this and get to the bottom of it ASAP! Send a DM my way and I'm on it, Elliot! https://t.co/senzStoecA *HillaryTurner"
@TMobileHelp Is the Jump! Plus w/ AppleCare services required when you purchase a new iPhone through the EIP? | @598959 Hey Joshua!! Send me a DM and we can go over all of the Jump insurance details!! :) Click here: https://t.co/QIHNBDHoV8. *LaurenWalker
"@115714 so do I have to wait 12 months on the iPhone forever plan before I get my IPhone X?😭 | @598987 Hey Dru, I am happy to answer all of your questions and concerns. Please send us a Direct Message, so that we can further assist you. -TT"
@115913 we brought 5 services to you our supposed new iPhone was not new | @511583 @115913 We're here for you and want to turn your experience around. Please DM us what's going on: https://t.co/cuEwtd2epS *DanKing
"@115911 an upgrade fee plus a down payment to do a JUMP for the iPhone X? No thanks time to start looking for a new carrier @115913 | @599045 @115913 We absolutely don't want to see you go, Daniel. Send a DM our way and we'll chat upgrade options: https://t.co/cuEwtd2epS *DanKing"
"@TMobileHelp After 10 days of processing my iPhone X order cancelled by T-Mobile. Disappointed | @599050 Don’t you worry one bit! I am on the case. :) Please send me a DM, and I can look into this. https://t.co/NICrRPn7OP *SierraRichards"
It's November 6th and my iPhone X still hasn't shipped! Thanks @115911 @115913 | @486151 @115913 We want you to have all of the details on your order. We see that we've been working in DM and will meet you there shortly. *ShelbyMartin
@115911 if I trade my iPhone 7 for the iPhone x how much would I pay for the iPhone x | @599117 Great question Jose! Let's take a closer look at all the pricing details! Send us a DM! *RickK
"Think I’m leaving @115911. T-Mobile says $425 down for iPhone X, @115725 says $0 and cut my bill $25/mo. 🤔 I’ve been w/ TM for years... | @235208 We certainly want your bill and device to be affordable. While the down payment is not something we can change, w... https://t.co/Jb8PNhT0ti"
"@TMobileHelp @115911 @115913 how do I ditch #AT&amp;T for charging me $400 for their services and $450 remaining balance on the iPhone plus possible early termination fees? Please help. Thanks | @599291 @115913 We'd love to see you on the Magenta Side, Sasha. Reply back to our DM thread anytime so we can continue helping. *DanKing"
Ugh I just want my #iPhoneX sooo hard right now. #sprint #imimpatient | @599346 We understand you're looking forward to receiving your new device. Check your order status by clicking on this https://t.co/hqOnhxrGCa -GS
"@115913 @115911 any deals on iPhones for existing subscriber during Thanksgiving? | @599507 @115913 Hey there, Manish. To stay up-to-date with the deals we have going on, check out: https://t.co/aIZPWLwowe periodically. *DanKing"
"@115913 Any incentives for ATT customers looking to switch into an iPhone X from a 7 plus? We have a family plan | @599514 @115913 We'd love to see you on the UnCarrier. Checkout the sweet iPhone deal we have going on, here: https://t.co/LfKlxD4wcr *DanKing"
So TMobile sells me refurb iPhone that does not work; they refuse to xchange cause of scratch on screen - seriously! @115913 @115911 | @599988 @115913 We absolutely want to explore all our options to take the best care of you. Please DM us. https://t.co/lH0SH5fy2m *MikeRice
"@115911 I’ve been trying to get to my T-Mobile for an hour to upgrade my Aunt’s iPhone 6 to an 8, but it’s still dooooowwwwn. She’s dying for more storage space. Help me be a good niece please | @600170 We're always on your side girl! DM us and let's see what we can do for you. *JamieK"
"So pissed off that @115714 messed up my pre order for my iPhone X and now I have to wait until December to receive it. | @600401 Hello! We're sorry to hear that you had that experience with us. Please, DM us so we can further assist you. - DA https://t.co/rMApsV8PQY"
@TMobileHelp I ordered the upgrade to iPhone 8 plus on Sunday but haven't really gotten any email confirmations other than EIP. Did it work? | @333582 Ah no! This is not what we wanna hear! Let's go to a DM to check this out for you! #FindYouriPhone 📱 https://t.co/YIQqqAAINS *EmilyC
@TMobileHelp bought an isis iphone NFC case fr AT&amp;T thinking it wasn’t carrier specific. Found out: it is :( why isn’t tmo iphone supported? | @600462 Hey there! Do you have a T-Mobile iPhone and service? ISIS does require a specific SIM card in order to work :) ^VS
.@115913 #iPhoneX preorder debacle b/w @115911 &amp; @115817. Phone I should've had 11/3 now back w/ TMobile &amp; can't get it sent back to me over missing apartment number? Your reps placated me all weekend that I could get it back...might be in the market for a new carrier. #refund | @600985 @115913 Hey! That's not the experience I want for you at all and would love to get this sorted out. DM me. https://t.co/3sF8qpf2nx *AlissaFast
@115911 @115913 Till when is the T-Mobile iPhone 8 or 8+ BOGO gonna run? And is it possible to pay the difference to get the 128GB or 256GB for both phones instead of the 64GB? And How much of a difference will it be? | @277725 @115913 Great news! It is running right now. Check out https://t.co/17OruoK5TU for all the details. *AshleyNelson
"@115911 how come I️ needed a down payment even though I️ qualified for jump?? Please help me,also do you know an ETA on my iPhone X? | @602043 I definitely understanding needing to get the full picture. Shoot us a DM, Brandon, so we can break it all down for you. *WhitneyJ"
"Every since I got this phone, my service has been horrible! I can’t refresh any of my social media or even search the web. #iPhoneX #Sprint | @218894 Hi Tee Jay, we'd like to review the service within your location. Please send us a DM so that we can look into this and assist you. -MB"
@115913 Customer service rep put in wrong shipping addy for iPhone x order. Now have to re-order and lose spot in line. Pretty shitty. | @516989 @115913 I want to explore all possible resolutions for you with this order. We'll be reaching out in DM shortly. https://t.co/lH0SH5fy2m *MikeRice
"@115714 well I can’t get the iPhone x cause sprint lied and keep me on the phone 5 and 1/2 hours 😡😡😡😡😡😡😡 thanks for lying | @602238 Kay, we'd like to help. Please send us a DM so that we can further assist you. Just click ‘Message’ at the top of our profile. - MJ"
"@115913 does lte work on your iphone x because it doesn’t on mine | @602529 @115913 I want to make sure you're getting the best service on your new device, Chris. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
@115714 only a lease and a full price option for the iPhone X? Why no payment plan like other phones? I wanted to switch to sprint :( | @553457 The iPhone X is available with Sprint under the Sprint Flex Program. Visit https://t.co/xRY4A14SAl to learn more about Sprint Flex. -LNL
"@115858 &amp; @115725 keep blaming each other for my iPhone problem #frustrated  I think I see @1647 &amp; @115714 in my future | @602900 Hi there, we'd love 2 have you as a part of the Sprint family. You can click the following link 2 see our phones https://t.co/1ce4njbAsO -CW"
"Never has my iPhone behaved so buggy since updating to iOS 11. Doesn’t help that @TMobileHelp’s coverage in Chicago is spotty.  @115858 | @603326 Yikes! This is not the experience we want for you! Shoot me a DM, and I'll look into this for you! https://t.co/jjKemKyHlV *AlexisGovea"
"@115858 and @115911 I got this iPhone 7+ less than two months ago. now it won’t stay charged all day. too busy for a dead battery. Help!! | @226599 We know how important it is to have your phone at the ready, Emily! DM us so we can see what's up! *MelindaR"
"@TMobileHelp I need help quick! I have an Verizon branded iphone 6s that is locked to your network(was used on walmart family mobile) and I want to use it on Sprint. The phone was paid in full at the time of purchase. Never leased. Can you please unlock it for me. Thanks, Michael | @603573 Hi there, Michael! That's a great question. Let's check things out for your unlock. DM me plz https://t.co/6NxKsl5RJm Thanks! *JoshHenegar"
"@115911 @TMobileHelp yo. So i have an iphone 7. Cracked it. If i fix the screen through apple/you guys and not some mall kiosk dude, am i able to trade it for the newer iphone and make less payments | @603588 Sorry to hear about the cracked iPhone, I want to make sure you can get into a new model. Send us a DM and we'll check it out *GregoryD"
"@115714 if your on a iPhone for life plan, can you upgrade to the iPhone X without paying $999? | @603918 Exciting times, we are excited as well! Pre-Order is available on 10/27 and launch is set for 11/3. Stay tuned for updates and offers. - AP"
"@TMobileHelp Hi, are the phones in your refurbished iphone 7 for $366 deal unlocked? | @604473 Great question, I’m more the happy to help can you just send me a direct message through here https://t.co/EyMABzAJlb *MiggyHerrera"
@116447 @115714 @sprintcare Need some assistance unlocking my iPhone. | @176886 We have attempted to contact you but were unsuccessful.  Please advise of the most convenient time to follow up. -Team @116447
"@115911 in store now, they won't honor $300 trade in of an iPhone 6 to purchase iPhone 7 on EIP | @213537 Hey Kevin, happy to hear you're at one our awesome stores. An iPhone 6 or newer can earn up to $300 trade-in cred... https://t.co/Sptd4Q3qkR"
@TMobileHelp Hey guys! I can't connect to my mobile hotspot in Mexico on telcel connection. Am I out of luck? (iPhone 7 Plus) | @192683 You're not out of luck with me! Shoot me a DM -&gt;https://t.co/qllKaoYyVl and we will get this hotspot connection figured out! *HeatherTrisby
Dude if @115911 doesn’t get this issue resolved with my iPhone7 I need my money back and my iPhone 6s back.. this is unacceptable | @163622 Hey Nikki! I see your DM and I'm replying now. We'll get that new device up to speed! :) https://t.co/vv9JsrbUOZ *AbigailRoach
"@TMobileHelp I went to a T-Mobile store today, and they wouldn't sell me the iPhone 8 Plus. Unless I would purchase a bundle of $400 extra!? | @605147 I'd love to turn things around for you and help you upgrade! Send a DM my way and I'm ont it! :D https://t.co/senzStoecA *HillaryTurner"
"@TMobileHelp @AppleSupport - my phone died and now won’t take a charge. iPhone 6s just updated iOS last week. What’s going on | @167170 Oh no! Definitely want you to get all of that juice you deserve! DM me, happy to help! (: https://t.co/lsvk9Zelxd *BronsonBarretto"
"@115911 yall service on the iPhones sucks 😡 | @605555 Whoa. Your experience is very important to us, Kristel. Let's check things out. DM us. *GiselleM"
"@115714 your service is unbelievably slow. I even worked for u guys and the service is just so unreliable with data. This iPhone is an ipod | @606695 We are concerned about your message and we'll be happy to help you.Please send us a Direct Message, so that we can further assist you. - AP"
"@TMobileHelp Can you tell me how much the #iPhoneX is going to be on installments? | @302286 Hey Andrew!! Send me a DM here: https://t.co/QIHNBDHoV8, and I can give you all the info that we have on the iPhone X! *LaurenWalker"
@TMobileHelp No #iPhone8 blk in any LA area store.They say I can order 2day ship but will cost me!? Even @Walmart has free shipping over $35 | @607260 Let me see what I can do here for you! Send me a DM - let's get you hooked-up with a new iPhone 8! *AlexKimbrell https://t.co/GefRnVHVqu
@115714 why the date keep getting pushed back for iPhone 8 ship dates? | @205405 We are as excited as you are. Please visit the link provided to check for order status and tracking information https://t.co/RDgqxv7W9w -SH
